HKPS       035 1 1 1 1 1 7.2 0
ZHH        035 1 1 1 1 1 7.2 0
HKOC       040 1 1 1 1 0 8.3 0
SZN        060 1 1 1 1 0 10.3 0
ZHS        065 1 1 1 1 1 11.8 0
TIS        100 1 1 1 1 1 18.0 0
XNH        100 1 1 1 1 1 17.1 0
SCD        115 1 1 1 1 1 19.4 0
HUZ        140 1 1 1 1 1 22.7 0
HUD        170 1 1 1 1 1 26.8 0
ZHQ        180 0 0 1 1 1 27.9 0
HYJ        195 0 0 1 1 1 30.1 0
LTK        195 0 0 1 1 1 29.6 0
XFJ        200 0 0 1 1 1 29.8 0
YGJ        200 0 0 1 0 1 30.0 0
XIG        205 0 0 1 1 1 31.1 0
ZIJ        225 0 0 1 1 1 32.9 0
YND        230 0 0 1 1 1 33.5 0
LIP        260 0 0 1 1 0 37.1 0
HUJ        270 0 0 1 1 1 38.9 0
SHG        310 0 0 1 1 1 42.9 0
